datetime,Depth_meter,Water_Temperature_celsius
2002-03-02 0:00,0,4
2002-03-02 0:00,0.5,4
2002-03-02 0:00,1.5,4
2002-03-02 0:00,2.5,4
2002-03-02 0:00,3.5,4
2002-03-02 0:00,4.5,4
2002-03-02 0:00,5.5,4
2002-03-02 0:00,6.5,4
2002-03-02 0:00,7.5,4
2002-03-02 0:00,8.5,4
2002-03-02 0:00,9.5,4
2002-03-02 0:00,10.5,4
2002-03-02 0:00,11.5,4
2002-03-02 0:00,12.5,4
2002-03-02 0:00,13.5,4
2002-03-02 0:00,14.5,4
2002-03-02 0:00,15.5,4
2002-03-02 0:00,16.5,4
2002-03-02 0:00,17.5,4
2002-03-02 0:00,18.5,4
2002-03-02 0:00,19.5,4
2002-03-02 0:00,20.5,4
